Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team
2026-03-31,20:45 (13:45),Friendlies (M),Friendlies (M),Tue,Away,D,1.0,1.0,nl Netherlands,,29344.0,Enner Valencia,4-2-2-2,4-2-3-1,Sascha Stegemann,Match Report,,Ecuador
2026-03-27,21:15 (15:15),Friendlies (M),Friendlies (M),Fri,Neutral,D,1.0,1.0,ma Morocco,,61622.0,Willian Pacho,4-2-3-1,4-2-3-1,José Luis Munuera,Match Report,,Ecuador
2025-11-18,20:30,Friendlies (M),Friendlies (M),Tue,Neutral,W,2.0,0.0,nz New Zealand,,,Moisés Caicedo,4-2-2-2,4-2-3-1,Ismail Elfath,Match Report,,Ecuador
2025-11-13,19:45,Friendlies (M),Friendlies (M),Thu,Away,D,0.0,0.0,ca Canada,,28740.0,Piero Hincapié,4-2-2-2,4-2-3-1,Fernando Hernández,Match Report,,Ecuador
2025-10-14,20:30 (21:30),Friendlies (M),Friendlies (M),Tue,Away,D,1.0,1.0,mx Mexico,,41235.0,Willian Pacho,4-1-4-1,4-1-4-1,Juan Gabriel Calderón,Match Report,,Ecuador
2025-10-10,19:37,Friendlies (M),Friendlies (M),Fri,Away,D,1.0,1.0,us United States,,20738.0,Alan Franco,4-2-3-1,3-4-3,Filip Dujic,Match Report,,Ecuador
2025-09-09,18:00,WCQ,World Cup qualification,Tue,Home,W,1.0,0.0,ar Argentina,43.0,,Enner Valencia,4-4-1-1,4-2-3-1,Wilmar Roldán,Match Report,,Ecuador
2025-09-04,19:30 (18:30),WCQ,World Cup qualification,Thu,Away,D,0.0,0.0,py Paraguay,63.0,,Hernán Galíndez,4-4-1-1,4-4-2,Raphael Claus,Match Report,,Ecuador
2025-06-10,20:30,WCQ,World Cup qualification,Tue,Away,D,0.0,0.0,pe Peru,47.0,,Pervis Estupiñán,4-4-2,4-4-2,Andrés Rojas,Match Report,,Ecuador
2025-06-05,18:00,WCQ,World Cup qualification,Thu,Home,D,0.0,0.0,br Brazil,52.0,,Piero Hincapié,4-4-2,4-3-3,Piero Maza,Match Report,,Ecuador
