Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team
2026-03-31,19:30 (13:30),Friendlies (M),Friendlies (M),Tue,Neutral,W,1.0,0.0,sct Scotland,,33034.0,Franck Kessié,4-2-3-1,3-4-1-2,Daniel Elder,Match Report,,Ivory Coast
2026-03-28,14:00 (09:00),Friendlies (M),Friendlies (M),Sat,Neutral,W,4.0,0.0,kr Korea Republic,,5917.0,Jean Seri,4-1-4-1,3-4-3,Ian McNabb,Match Report,,Ivory Coast
2026-01-10,20:00 (14:00),Africa Cup of Nations,Quarter-finals,Sat,Neutral,L,2.0,3.0,eg Egypt,71.0,31213.0,Franck Kessié,4-1-4-1,3-4-1-2,Mustapha Ghorbal,Match Report,,Ivory Coast
2026-01-06,20:00 (14:00),Africa Cup of Nations,Round of 16,Tue,Neutral,W,3.0,0.0,bf Burkina Faso,58.0,24019.0,Franck Kessié,4-1-4-1,5-4-1,Mahmood Ismail Chantir,Match Report,,Ivory Coast
2025-12-31,20:00 (14:00),Africa Cup of Nations,Group stage,Wed,Neutral,W,3.0,2.0,ga Gabon,67.0,20833.0,Franck Kessié,4-1-4-1,4-2-3-1,Cumar Cartan,Match Report,,Ivory Coast
2025-12-28,21:00 (15:00),Africa Cup of Nations,Group stage,Sun,Neutral,D,1.0,1.0,cm Cameroon,51.0,35165.0,Franck Kessié,4-1-4-1,3-4-1-2,Mustapha Ghorbal,Match Report,,Ivory Coast
2025-12-24,18:30 (12:30),Africa Cup of Nations,Group stage,Wed,Neutral,W,1.0,0.0,mz Mozambique,54.0,13041.0,Franck Kessié,4-2-3-1,4-2-3-1,Samuel Uwikunda,Match Report,,Ivory Coast
2025-11-18,19:00 (10:00),Friendlies (M),Friendlies (M),Tue,Away,W,2.0,0.0,om Oman,,,Ghislain Konan,4-2-3-1,5-4-1,Mohammed Khaled Al Hoish,Match Report,,Ivory Coast
2025-11-14,19:30 (11:30),Friendlies (M),Friendlies (M),Fri,Away,L,0.0,1.0,sa Saudi Arabia,,2271.0,Franck Kessié,4-2-2-2,4-1-4-1,Yahya Ali Al Mulla,Match Report,,Ivory Coast
2025-10-14,19:00 (14:00),WCQ,First round,Tue,Home,W,3.0,0.0,ke Kenya,,,Franck Kessié,4-2-2-2,3-4-3,Naby Laye Touré,Match Report,,Ivory Coast
