Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team
2026-03-31,20:45 (13:45),WCQ,Second round — Finals,Tue,Away,W,1.0,0.0,xk Kosovo,57.0,12887.0,Hakan Çalhanoğlu,3-4-3,3-4-3,Michael Oliver,Match Report,,Türkiye
2026-03-26,20:00 (12:00),WCQ,Second round — Semi-finals,Thu,Neutral,W,1.0,0.0,ro Romania,68.0,38979.0,Hakan Çalhanoğlu,4-2-3-1,4-2-3-1,François Letexier,Match Report,,Türkiye
2025-11-18,20:45 (14:45),WCQ,First round,Tue,Away,D,2.0,2.0,es Spain,27.0,30812.0,Merih Demiral,5-4-1,4-3-3,Felix Zwayer,Match Report,,Türkiye
2025-11-15,20:00 (12:00),WCQ,First round,Sat,Home,W,2.0,0.0,bg Bulgaria,67.0,42756.0,Hakan Çalhanoğlu,4-2-3-1,4-5-1,Nick Walsh,Match Report,,Türkiye
2025-10-14,21:45 (13:45),WCQ,First round,Tue,Home,W,4.0,1.0,ge Georgia,45.0,26633.0,Hakan Çalhanoğlu,4-2-3-1,4-3-3,Radu Petrescu,Match Report,,Türkiye
2025-10-11,21:45 (13:45),WCQ,First round,Sat,Away,W,6.0,1.0,bg Bulgaria,78.0,10059.0,Hakan Çalhanoğlu,4-2-3-1,4-4-1-1,Luís Godinho,Match Report,,Türkiye
2025-09-07,21:45 (13:45),WCQ,First round,Sun,Home,L,0.0,6.0,es Spain,50.0,32059.0,Hakan Çalhanoğlu,4-2-3-1,4-3-3,Michael Oliver,Match Report,,Türkiye
2025-09-04,20:00 (11:00),WCQ,First round,Thu,Away,W,3.0,2.0,ge Georgia,46.0,44238.0,Hakan Çalhanoğlu,4-2-3-1,4-4-2,Davide Massa,Match Report,,Türkiye
2025-06-10,21:00 (20:00),Friendlies (M),Friendlies (M),Tue,Neutral,L,0.0,1.0,mx Mexico,,25606.0,Kaan Ayhan,4-2-3-1,4-2-2-2,Moeth Gaymes,Match Report,,Türkiye
2025-06-07,15:37 (14:37),Friendlies (M),Friendlies (M),Sat,Away,W,2.0,1.0,us United States,,34023.0,Çağlar Söyüncü,4-2-3-1,4-2-3-1,Fernando Morón,Match Report,,Türkiye
