Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team
2026-03-31,19:07 (18:07),Friendlies (M),Friendlies (M),Tue,Home,L,0.0,2.0,pt Portugal,,72297.0,Chris Richards,4-2-3-1,4-2-3-1,Sven Jablonski,Match Report,,United States
2026-03-28,15:37 (14:37),Friendlies (M),Friendlies (M),Sat,Home,L,2.0,5.0,be Belgium,,66867.0,Tim Ream,4-2-3-1,4-2-3-1,Esteban Ostojich,Match Report,,United States
2025-11-18,19:07,Friendlies (M),Friendlies (M),Tue,Home,W,5.0,1.0,uy Uruguay,,26110.0,Mark McKenzie,3-4-3,4-2-3-1,Julio César Luna,Match Report,,United States
2025-11-15,16:07 (17:07),Friendlies (M),Friendlies (M),Sat,Home,W,2.0,1.0,py Paraguay,,17224.0,Tim Ream,3-4-3,4-2-2-2,Cristhofer Corado,Match Report,,United States
2025-10-14,19:07 (20:07),Friendlies (M),Friendlies (M),Tue,Home,W,2.0,1.0,au Australia,,18218.0,Christian Pulisic,3-4-3,5-4-1,Kwinsi Williams,Match Report,,United States
2025-10-10,19:37,Friendlies (M),Friendlies (M),Fri,Home,D,1.0,1.0,ec Ecuador,,20738.0,Tim Ream,3-4-3,4-2-3-1,Filip Dujic,Match Report,,United States
2025-09-09,19:37 (18:37),Friendlies (M),Friendlies (M),Tue,Home,W,2.0,0.0,jp Japan,,20192.0,Tim Ream,3-4-3,3-4-3,Bryan López,Match Report,,United States
2025-09-06,16:07,Friendlies (M),Friendlies (M),Sat,Home,L,0.0,2.0,kr Korea Republic,,26500.0,Tim Ream,4-2-3-1,5-4-1,Reon Radix,Match Report,,United States
2025-07-06,18:00,Gold Cup,Final,Sun,Neutral,L,1.0,2.0,mx Mexico,40.0,70925.0,Tim Ream,4-2-3-1,4-3-3,Mario Escobar,Match Report,,United States
2025-07-02,18:00,Gold Cup,Semi-finals,Wed,Neutral,W,2.0,1.0,gt Guatemala,49.0,22423.0,Tim Ream,4-2-3-1,4-4-2,Oshane Nation,Match Report,,United States
